编号,用途,省市,区县,宗地名称,宗地位置,出让年限,交易方式,起始价（万元）,成交价格(万元),溢价率,成交年份,成交年月,成交时间,出让面积,容积率,建筑面积（平方米）,受让单位,母公司,所属集团公司,建设单位,设计单位,施工单位,监理单位,开工时间,建设用地规划许可证,建设工程规划许可证,竣工时间,全装修要求,装配式建筑比例（%）,单体预制率,约定开工时间,约定竣工时间
,工业用地,盐城市,东台市,保尔晏华园艺科技（江苏）有限公司,头灶镇四大沟西、八浅沟北侧,50,挂牌出让,,513,,,,2020年6月9日,3,1,,保尔晏华园艺科技（江苏）有限公司,,,,,,,,,,,,,,2021年2月9日,2023年2月9日
,城镇住宅用地,盐城市,射阳县,开发区人民法院北侧地块,开发区人民法院北侧地块,70,挂牌出让,,657,,,,2020年6月9日,0.3664,1.001.50,,淮安鑫鼎置业有限公司,,,,,,,,,,,,,,2021年4月9日,2024年4月9日
,旅馆用地,盐城市,东台市,东台市海滨投资发展有限公司,东台市沿海经济区服务中心、迎宾路西侧,40,挂牌出让,,182.286,,,,2020年6月5日,0.4797,1.5,,东台市海滨投资发展有限公司,,,,,,,,,,,,,,2021年3月5日,2024年3月4日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,321.112,,,,2020年6月4日,0.1804,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村,40,挂牌出让,,104.027,,,,2020年6月4日,0.0539,0.101.20,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,1411.54,,,,2020年6月4日,0.793,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,551.622,,,,2020年6月4日,0.3099,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
,城镇住宅用地,盐城市,亭湖区,盐城易汇地产有限公司,盐城市亭湖经济开发区三洼村民委员会二组,70,挂牌出让,,15093.45,,,,2020年6月4日,6.7082,1.001.80,,盐城易汇地产有限公司,,,,,,,,,,,,,,2021年6月4日,2024年6月4日
,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块二,射阳盐场海堤公路东侧地块二,50,协议出让,,9872.4932,,,,2020年6月3日,340.4308,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月3日,2022年12月2日
,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块十二,射阳盐场海堤公路东侧地块十二,50,协议出让,,2651.9775,,,,2020年6月2日,91.4475,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块十,射阳盐场海堤公路东侧地块十,50,协议出让,,5404.4052,,,,2020年6月2日,186.3588,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
,盐田,盐城市,射阳县,射阳盐城海堤公路东侧地块七,射阳盐场海堤公路东侧地块七,50,协议出让,,5135.4592,,,,2020年6月2日,177.0848,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年12月2日,2022年12月1日
,盐田,盐城市,射阳县,射阳盐场海堤公路东侧地块六,射阳盐场海堤公路东侧地块六,50,协议出让,,3563.7578,,,,2020年6月2日,122.8882,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年10月2日,2022年10月1日
,工业用地,盐城市,东台市,江苏辰顺精密科技有限公司,振兴路北、经十路西侧,50,挂牌出让,,1307.214,,,,2020年6月1日,7.2623,1.2,,江苏辰顺精密科技有限公司,,,,,,,,,,,,,,2021年2月1日,2021年8月1日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十一,射阳盐场海堤公路西侧地块十一,50,协议出让,,42.0558,,,,2020年5月29日,1.4502,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
,公用设施用地,盐城市,盐都区,盐城市盐都区冈中养护工区项目,盐都区盐渎街道,,划拨,,,,,,2020年5月29日,0.6676,0.5,,盐城市盐都区交通运输局,,,,,,,,,,,,,,2020年9月1日,2021年8月31日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十二,射阳盐场海堤公路西侧地块二十二,50,协议出让,,1505.1841,,,,2020年5月29日,51.9029,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
,公用设施用地,盐城市,盐都区,盐都区滨湖养护工区项目,盐都区滨湖街道,,划拨,,,,,,2020年5月29日,0.6666,0.5,,盐城市盐都交通运输局,,,,,,,,,,,,,,2020年9月1日,2021年8月31日
,公用设施用地,盐城市,盐都区,盐城市盐都区生活垃圾分拣中心项目,盐都区郭猛镇,,划拨,,,,,,2020年5月29日,1.3356,0.5,,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020年9月21日,2021年9月20日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十三,射阳盐场海堤公路西侧地块二十三,50,协议出让,,3569.8739,,,,2020年5月29日,123.0991,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
,公用设施用地,盐城市,盐都区,盐城市盐都区建筑垃圾调剂场项目,盐都区盐渎街道,,划拨,,,,,,2020年5月29日,1.2,0.5,,盐城市盐都区城市管理局,,,,,,,,,,,,,,2020年9月21日,2021年9月20日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十五,射阳盐城海堤公路西侧地块十五,50,协议出让,,146.0904,,,,2020年5月29日,5.0376,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十九,射阳盐场海堤公路西侧地块十九,50,协议出让,,611.6564,,,,2020年5月29日,21.0916,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月29日,2022年11月28日
,娱乐用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌出让,,2659.498,,,,2020年5月28日,1.4941,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,40,挂牌出让,,1382.17,,,,2020年5月28日,0.7765,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
,文化设施用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇民航村四组,50,挂牌出让,,2000.72,,,,2020年5月28日,1.124,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
,其他商服用地,盐城市,亭湖区,盐城大洋湾生态旅游景区有限公司,盐城市亭湖区南洋镇新洋村八组,40,挂牌出让,,286.224,,,,2020年5月28日,0.1608,0.101.00,,盐城大洋湾生态旅游景区有限公司,,,,,,,,,,,,,,2021年5月28日,2024年5月28日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十四,射阳盐场海堤公路西侧地块十四,50,协议出让,,4320.2228,,,,2020年5月28日,148.9732,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十二,射阳盐场海堤公路西侧地块十二,50,协议出让,,3283.8556,,,,2020年5月28日,113.2364,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十三,射阳盐场海堤公路西侧地块十三,50,协议出让,,115.0111,,,,2020年5月28日,3.9659,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月28日,2022年11月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇刘李村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌出让,,7,,,,2020年5月27日,0.034995,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙灶村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇唐城村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,,,2020年5月27日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月27日,2023年1月27日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十,射阳盐场海堤公路西侧地块二十,50,协议出让,,1333.1242,,,,2020年5月27日,45.9698,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月27日,2022年11月26日
,城镇住宅用地,盐城市,滨海县,滨海县城镇建设发展有限公司,滨海县海滨大道南侧、城东大道东侧,70,挂牌出让,,10803.87,,,,2020年5月27日,3.2739,1.002.30,,滨海县城镇建设发展有限公司,,,,,,,,,,,,,,2020年9月3日,2022年9月3日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十四,射阳盐场海堤公路西侧地块二十四,50,协议出让,,1035.9003,,,,2020年5月27日,35.7207,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月27日,2022年11月26日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块二十一,射阳盐场海堤公路西侧地块二十一,50,协议出让,,224.8863,,,,2020年5月27日,7.7547,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月27日,2022年11月26日
,城镇住宅用地,盐城市,射阳县,丰和名都南侧1号地块,丰和名都南侧1号地块,70,挂牌出让,,20393,,,,2020年5月26日,5.0875,1.002.20,,盐城绿洲房地产开发有限公司,,,,,,,,,,,,,,2021年7月26日,2024年7月26日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块七,射阳盐场海堤公路西侧地块七,50,协议出让,,3296.4735,,,,2020年5月26日,113.6715,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月26日,2022年11月25日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块八,射阳盐城海堤公路西侧地块八,50,协议出让,,81.3247,,,,2020年5月26日,2.8043,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月26日,2022年11月25日
,城镇住宅用地,盐城市,大丰市,盐城市大丰区林场,盐城市大丰区林场北场圩西4排南北中心路东侧,70,协议出让,,784.42,,,,2020年5月25日,1.4393,1,,盐城市大丰区林场,,,,,,,,,,,,,,,
,其他商服用地,盐城市,射阳县,西湖大桥东侧地块一,西湖大桥东侧地块一,40,挂牌出让,,1224,,,,2020年5月25日,1.6694,2,,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021年3月25日,2024年3月25日
,其他商服用地,盐城市,射阳县,西湖大桥东侧地块二,西湖大桥东侧地块二,40,挂牌出让,,4991,,,,2020年5月25日,6.818,2,,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021年3月25日,2024年3月25日
,其他商服用地,盐城市,射阳县,西湖大桥东侧地块三,西湖大桥东侧地块三,40,挂牌出让,,3954,,,,2020年5月25日,5.4013,2,,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021年3月25日,2024年3月25日
,其他商服用地,盐城市,射阳县,西湖大桥东侧地块四,西湖大桥东侧地块四,40,挂牌出让,,207,,,,2020年5月25日,0.282,2,,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021年3月25日,2024年3月25日
,其他商服用地,盐城市,射阳县,西湖大桥东侧地块五,西湖大桥东侧地块五,40,挂牌出让,,190,,,,2020年5月25日,0.258,2,,射阳县旅游投资发展有限公司,,,,,,,,,,,,,,2021年3月25日,2024年3月25日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块十七,射阳盐场海堤公路西侧地块十七,50,协议出让,,152.9692,,,,2020年5月25日,5.2748,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月25日,2022年11月24日
,盐田,盐城市,射阳县,射阳盐场海堤公路西侧地块六,射阳盐场海堤公路西侧地块六,50,协议出让,,2435.5273,,,,2020年5月25日,83.9837,,,江苏银宝控股集团有限公司,,,,,,,,,,,,,,2020年11月25日,2022年11月24日
,公路用地,盐城市,盐都区,盐城市盐都区振兴路南段工程项目,盐都区盐龙街道办事处,,划拨,,,,,,2020年5月22日,13.3769,,,盐城市盐都区交通运输局,,,,,,,,,,,,,,2020年9月20日,2021年9月19日
,公路用地,盐城市,盐都区,125省道盐都至大纵湖段改扩建工程（滨湖至兴化段）,滨湖街道办事处,,划拨,,,,,,2020年5月22日,27.3111,,,盐城市盐都区交通运输局,,,,,,,,,,,,,,2020年9月20日,2021年9月19日
,其他商服用地,盐城市,盐城市本级,人民路东，第一沟北,盐城市盐南高新区新都街道办事处新丰社区,30,挂牌出让,,13992.99,,,,2020年5月21日,1.1914,1.004.00,,江苏润海置业有限公司,,,,,,,,,,,,,,2021年8月20日,2024年8月20日
,工业用地,盐城市,大丰市,江苏金风科技有限公司,大丰港物流园区中南汇东侧、二期码头望海楼南侧,50,挂牌出让,,773.69,,,,2020年5月21日,3.9676,0.901.20,,江苏金风科技有限公司,,,,,,,,,,,,,,2021年5月20日,2023年5月20日
,工业用地,盐城市,阜宁县,江苏美凯奥纺织科技有限公司,花园街道办事处新丰居委会,50,挂牌出让,,397,,,,2020年5月20日,1.823238,1.002.00,,江苏美凯奥纺织科技有限公司,,,,,,,,,,,,,,2020年12月30日,2022年12月30日
,工业用地,盐城市,阜宁县,江苏宸彩钜创科技发展有限公司,郭墅镇孙郑居委会,50,挂牌出让,,430,,,,2020年5月20日,2.00781,1.002.00,,江苏宸彩钜创科技发展有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌出让,,428,,,,2020年5月20日,1.96174,0.802.00,,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,江苏希德风光电设备科技有限公司,花园街道办事处新丰居委会,50,挂牌出让,,127,,,,2020年5月20日,0.583746,1.002.00,,江苏希德风光电设备科技有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,仓储用地,盐城市,阜宁县,阜宁恒源电气实业有限公司,花园街道办事处新丰居委会,50,挂牌出让,,124,,,,2020年5月20日,0.56802,0.802.00,,阜宁恒源电气实业有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇孙郑居委会,50,挂牌出让,,7,,,,2020年5月20日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇张庄村,50,挂牌出让,,7,,,,2020年5月20日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,,,2020年5月20日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,,,2020年5月20日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,工业用地,盐城市,阜宁县,阜宁协鑫郭墅风力发电有限公司,郭墅镇沙河村,50,挂牌出让,,7,,,,2020年5月20日,0.034996,1,,阜宁协鑫郭墅风力发电有限公司,,,,,,,,,,,,,,2021年1月20日,2023年1月20日
,教育用地,盐城市,盐都区,科创城小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,,,,2020年5月20日,11.1402,0.55,,江苏盐西世纪教育产业项目开发有限公司,,,,,,,,,,,,,,2020年9月20日,2022年9月19日
,公园与绿地,盐城市,盐都区,小马沟景观绿廊配套服务用房——文化陈列空间,盐城市盐都区潘黄街道办事处何桥居委会,,划拨,,,,,,2020年5月20日,0.6292,0.02,,盐城盐龙文化体育产业投资有限公司,,,,,,,,,,,,,,2020年9月20日,2021年9月19日
,教育用地,盐城市,盐都区,东进路小学、初中,盐城市盐都区潘黄街道办事处宝才居委会,,划拨,,,,,,2020年5月20日,8.6499,0.75,,江苏盐西宝兴教育产业发展有限公司,,,,,,,,,,,,,,2020年9月20日,2022年9月19日
,采矿用地,盐城市,阜宁县,盐城淇岸环境科技有限公司,阜宁高新技术产业开发区马河村,50,挂牌出让,,517,,,,2020年5月18日,2.415087,0.601.00,,盐城淇岸环境科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,江苏鑫鹏工业用布有限公司,现代服务业园区新丰居委会,50,挂牌出让,,107,,,,2020年5月18日,0.491257,1.302.00,,江苏鑫鹏工业用布有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,盐城恒旺彩印包装有限公司,现代服务业园区新丰居委会,50,挂牌出让,,85,,,,2020年5月18日,0.390887,1.002.00,,盐城恒旺彩印包装有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,阜宁县罗桥阜香园糕点厂,罗桥镇沿街村,50,挂牌出让,,83,,,,2020年5月18日,0.396215,1.202.00,,阜宁县罗桥阜香园糕点厂,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,盐城程锦服饰有限公司,古河镇古河居委会,50,挂牌出让,,79,,,,2020年5月18日,0.37827,1.502.00,,盐城程锦服饰有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,阜宁鹏晔机械制造有限公司,罗桥镇沿街村,50,挂牌出让,,70,,,,2020年5月18日,0.333334,1.002.00,,阜宁鹏晔机械制造有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,阜宁洁益金属制品有限公司,罗桥镇沿街村,50,挂牌出让,,70,,,,2020年5月18日,0.333331,1.002.00,,阜宁洁益金属制品有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,江苏好瑞科技有限公司,罗桥镇沿街村,50,挂牌出让,,70,,,,2020年5月18日,0.331652,1.002.00,,江苏好瑞科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,阜宁十戒环保科技有限公司,古河镇古河居委会,50,挂牌出让,,64,,,,2020年5月18日,0.306601,1.302.00,,阜宁十戒环保科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,盐城福安设备安装有限公司,陈良镇成俊村,50,挂牌出让,,21,,,,2020年5月18日,0.099507,1.002.00,,盐城福安设备安装有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,工业用地,盐城市,阜宁县,盐城淇岸环境科技有限公司,阜宁高新技术产业开发区马河村,50,挂牌出让,,9,,,,2020年5月18日,0.042899,0.601.00,,盐城淇岸环境科技有限公司,,,,,,,,,,,,,,2020年12月28日,2022年12月28日
,城镇住宅用地,盐城市,盐都区,盐城兴城置业有限公司,盐都区开创路东、蓝海路南,70,挂牌出让,,8750.21,,,,2020年5月18日,5.7889,1.002.50,,盐城兴城置业有限公司,,,,,,,,,,,,,,2021年8月17日,2024年8月16日
,工业用地,盐城市,射阳县,盐城金澜纺织有限公司,射阳县千秋镇合八路东侧,50,挂牌出让,,806.4412,,,,2020年5月18日,5.52357,1.002.50,,盐城金澜纺织有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
,工业用地,盐城市,射阳县,盐城广合探伤设备有限公司,射阳县合德镇春晖路北侧、盛莱普东侧,50,挂牌出让,,408.799,,,,2020年5月18日,2.4047,1.002.50,,盐城广合探伤设备有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
,工业用地,盐城市,射阳县,盐城润鸿经编有限公司,射阳县合德镇工业园区兴业路北侧、科治科技有限公司西侧,50,挂牌出让,,335.232,,,,2020年5月18日,1.746,1.002.50,,盐城润鸿经编有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
,工业用地,盐城市,射阳县,天能炭素（江苏）有限公司,射阳港经济开发区普鲁泰克西侧,50,挂牌出让,,394.6716,,,,2020年5月18日,2.6667,1.002.50,,天能炭素（江苏）有限公司,,,,,,,,,,,,,,2021年7月27日,2023年7月26日
,工业用地,盐城市,东台市,光伏部件及金属制品生产线技改项目,时堰镇先锋河西、鑫阳一期南侧,50,挂牌出让,,89.376,,,,2020年5月15日,0.532,1,,东台市鑫阳热镀锌有限公司,,,,,,,,,,,,,,2021年1月15日,2022年1月15日
,工业用地,盐城市,东台市,紧固仓盟（江苏）科技有限公司,东台市溱东新材料装备产业园（开庄分区）,50,挂牌出让,,1522.0761,,,,2020年5月14日,2.0001,1,,紧固仓盟(江苏)科技有限公司,,,,,,,,,,,,,,2021年1月12日,2023年1月12日
,工业用地,盐城市,东台市,东台市甫光玩具有限公司,富安镇富东工业集中区,50,挂牌出让,,113.3046,,,,2020年5月14日,0.6626,1.2,,东台市甫光玩具有限公司,,,,,,,,,,,,,,2021年1月14日,2022年1月14日
,工业用地,盐城市,东台市,业美智能电子科技（东台）有限公司,安丰镇丰富一路南侧,50,挂牌出让,,337.2462,,,,2020年5月14日,1.9722,1,,业美智能电子科技(东台)有限公司,,,,,,,,,,,,,,2021年1月14日,2022年1月14日
,公用设施用地,盐城市,响水县,响水县新港建设发展有限公司,观潮二路北侧、港大道西侧,50,挂牌出让,,1118,,,,2020年5月13日,7.0732,0.100.60,,响水县新港建设发展有限公司,,,,,,,,,,,,,,2020年12月10日,2023年12月10日
,公用设施用地,盐城市,响水县,响水永能太阳能发电有限公司,响水县灌东盐场,50,挂牌出让,,73,,,,2020年5月13日,0.4478,0.5,,响水永能太阳能发电有限公司,,,,,,,,,,,,,,2020年12月10日,2023年12月10日
,工业用地,盐城市,响水县,响水万银食品有限公司,326省道南侧、南大线西侧,50,挂牌出让,,216,,,,2020年5月13日,1.1591,0.701.20,,响水万银食品有限公司,,,,,,,,,,,,,,2020年12月10日,2023年12月10日
,工业用地,盐城市,大丰市,格林豪博实业（江苏）有限公司,开发区南环路南侧、胜利河西侧,50,挂牌出让,,651.27,,,,2020年5月13日,3.3398,1.002.00,,格林豪博实业（江苏）有限公司,,,,,,,,,,,,,,2021年5月12日,2023年5月12日
,公路用地,盐城市,盐城市本级,黄浦江路（东环路—黄山路）道路工程项目,盐城经济技术开发区新城街道正丰村一组,,划拨,,,,,,2020年5月12日,0.9627,,,江苏沿海东方市政建设股份有限公司,,,,,,,,,,,,,,2021年5月11日,2023年5月11日
,工业用地,盐城市,东台市,江苏铨华锯业有限公司,老204国道西侧、八引河南侧,50,挂牌出让,,90.144,,,,2020年5月11日,0.5008,1.2,,江苏铨华锯业有限公司,,,,,,,,,,,,,,2021年1月11日,2023年1月11日
,工业用地,盐城市,东台市,东台通能电子有限公司,经八路东侧、九里沟北侧,50,挂牌出让,,347.346,,,,2020年5月11日,1.9297,1.05,,东台通能电子有限公司,,,,,,,,,,,,,,2021年1月11日,2023年1月11日
,工业用地,盐城市,东台市,东台通能电子有限公司,经八路东侧、九里沟北侧,50,挂牌出让,,131.544,,,,2020年5月11日,0.7308,1.05,,东台通能电子有限公司,,,,,,,,,,,,,,2021年1月11日,2023年1月11日
,工业用地,盐城市,东台市,东台唯佳科技有限责任公司,经八路东侧、九里沟北侧,50,挂牌出让,,131.544,,,,2020年5月11日,0.7308,1.05,,东台唯佳科技有限责任公司,,,,,,,,,,,,,,2021年1月11日,2023年1月11日
,工业用地,盐城市,东台市,东台唯佳科技有限责任公司,经八路东侧、九里沟北侧,50,挂牌出让,,166.428,,,,2020年5月11日,0.9246,1.05,,东台唯佳科技有限责任公司,,,,,,,,,,,,,,2021年1月11日,2023年1月11日
,工业用地,盐城市,东台市,江苏瀚隆家纺有限公司,梁垛镇梁垛村,43.6,挂牌出让,,37.502,,,,2020年5月11日,0.2206,1,,江苏瀚隆家纺有限公司,,,,,,,,,,,,,,2021年1月11日,2022年1月11日
,工业用地,盐城市,建湖县,建湖贝斯特液压机械有限公司年产5000支液压油缸项目,建阳镇马厂村三组,50,挂牌出让,,41.656,,,,2020年5月10日,0.2032,0.701.20,,建湖贝斯特液压机械有限公司,,,,,,,,,,,,,,2021年5月31日,2023年5月30日
,工业用地,盐城市,建湖县,建湖鼎杰仪表阀门有限公司年产40000台（套）一体化五阀组项目,建阳镇马厂村三组,50,挂牌出让,,39.0935,,,,2020年5月10日,0.1907,0.701.20,,建湖鼎杰仪表阀门有限公司,,,,,,,,,,,,,,2021年5月31日,2023年5月30日
